[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step  1850/122071 | loss 2.3938 | lr 9.25e-04 | wd 0.100 | gnorm 1.13 | 3549.3s
step  1860/122071 | loss 2.7852 | lr 9.30e-04 | wd 0.100 | gnorm 1.32 | 3568.8s
step  1870/122071 | loss 2.4508 | lr 9.35e-04 | wd 0.100 | gnorm 1.19 | 3588.6s
step  1880/122071 | loss 2.5902 | lr 9.40e-04 | wd 0.100 | gnorm 1.28 | 3608.0s
step  1890/122071 | loss 2.5377 | lr 9.45e-04 | wd 0.100 | gnorm 1.08 | 3627.6s
step  1900/122071 | loss 2.4161 | lr 9.50e-04 | wd 0.100 | gnorm 1.03 | 3646.4s
step  1910/122071 | loss 2.4797 | lr 9.55e-04 | wd 0.100 | gnorm 1.19 | 3665.5s
step  1920/122071 | loss 2.6295 | lr 9.60e-04 | wd 0.100 | gnorm 1.28 | 3685.0s
step  1930/122071 | loss 2.4898 | lr 9.65e-04 | wd 0.100 | gnorm 1.10 | 3704.0s
step  1940/122071 | loss 2.5274 | lr 9.70e-04 | wd 0.100 | gnorm 1.22 | 3723.3s
step  1950/122071 | loss 2.4453 | lr 9.75e-04 | wd 0.100 | gnorm 1.17 | 3742.7s
step  1960/122071 | loss 2.4684 | lr 9.80e-04 | wd 0.100 | gnorm 1.07 | 3761.4s
step  1970/122071 | loss 2.4983 | lr 9.85e-04 | wd 0.100 | gnorm 1.18 | 3781.1s
step  1980/122071 | loss 2.5673 | lr 9.90e-04 | wd 0.100 | gnorm 1.10 | 3800.6s
step  1990/122071 | loss 2.5279 | lr 9.95e-04 | wd 0.100 | gnorm 1.07 | 3820.1s
  [val] step 2000 | val_ppl 18.254 (prev 19.400)
step  2000/122071 | loss 2.2767 | lr 1.00e-03 | wd 0.100 | gnorm 1.04 | 3839.1s
step  2010/122071 | loss 2.5469 | lr 1.00e-03 | wd 0.100 | gnorm 1.00 | 3857.7s
step  2020/122071 | loss 2.4478 | lr 1.00e-03 | wd 0.100 | gnorm 1.05 | 3876.8s
step  2030/122071 | loss 2.4778 | lr 1.00e-03 | wd 0.100 | gnorm 1.19 | 3895.3s
step  2040/122071 | loss 2.4833 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 3914.5s
step  2050/122071 | loss 2.2890 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 3933.2s
step  2060/122071 | loss 2.3335 | lr 1.00e-03 | wd 0.100 | gnorm 1.08 | 3952.3s
step  2070/122071 | loss 2.6039 | lr 1.00e-03 | wd 0.100 | gnorm 1.04 | 3974.8s
step  2080/122071 | loss 2.3575 | lr 1.00e-03 | wd 0.100 | gnorm 1.07 | 3995.6s
step  2090/122071 | loss 2.3893 | lr 1.00e-03 | wd 0.100 | gnorm 1.06 | 4014.0s
step  2100/122071 | loss 2.3867 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 4032.8s
step  2110/122071 | loss 2.4845 | lr 1.00e-03 | wd 0.100 | gnorm 1.04 | 4051.6s
step  2120/122071 | loss 2.4238 | lr 1.00e-03 | wd 0.100 | gnorm 1.10 | 4071.3s
step  2130/122071 | loss 2.5093 | lr 1.00e-03 | wd 0.100 | gnorm 0.96 | 4089.9s
step  2140/122071 | loss 2.1989 | lr 1.00e-03 | wd 0.100 | gnorm 0.95 | 4108.8s
step  2150/122071 | loss 2.2467 | lr 1.00e-03 | wd 0.100 | gnorm 1.14 | 4128.3s
step  2160/122071 | loss 2.4750 | lr 1.00e-03 | wd 0.100 | gnorm 0.97 | 4147.5s
step  2170/122071 | loss 2.4801 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 4166.4s
step  2180/122071 | loss 2.3289 | lr 1.00e-03 | wd 0.100 | gnorm 1.01 | 4185.8s
step  2190/122071 | loss 2.4415 | lr 1.00e-03 | wd 0.100 | gnorm 1.10 | 4205.3s
step  2200/122071 | loss 2.2797 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 4224.8s
step  2210/122071 | loss 2.4073 | lr 1.00e-03 | wd 0.100 | gnorm 1.11 | 4244.4s
step  2220/122071 | loss 2.5255 | lr 1.00e-03 | wd 0.100 | gnorm 1.02 | 4263.5s
step  2230/122071 | loss 2.3225 | lr 1.00e-03 | wd 0.100 | gnorm 0.94 | 4283.4s
step  2240/122071 | loss 2.4098 | lr 1.00e-03 | wd 0.100 | gnorm 1.08 | 4302.4s
step  2250/122071 | loss 2.4132 | lr 1.00e-03 | wd 0.100 | gnorm 0.99 | 4321.0s
step  2260/122071 | loss 2.4549 | lr 1.00e-03 | wd 0.100 | gnorm 1.22 | 4340.5s
step  2270/122071 | loss 2.5713 | lr 1.00e-03 | wd 0.100 | gnorm 0.97 | 4359.5s
step  2280/122071 | loss 2.2655 | lr 1.00e-03 | wd 0.100 | gnorm 1.09 | 4378.3s
step  2290/122071 | loss 2.2079 | lr 1.00e-03 | wd 0.100 | gnorm 0.97 | 4397.2s
step  2300/122071 | loss 2.4816 | lr 1.00e-03 | wd 0.100 | gnorm 1.00 | 4415.9s
step  2310/122071 | loss 2.2396 | lr 1.00e-03 | wd 0.100 | gnorm 0.93 | 4434.7s
step  2320/122071 | loss 2.4815 | lr 1.00e-03 | wd 0.100 | gnorm 0.94 | 4453.9s
step  2330/122071 | loss 2.2916 | lr 1.00e-03 | wd 0.100 | gnorm 1.02 | 4472.2s
step  2340/122071 | loss 2.2637 | lr 1.00e-03 | wd 0.100 | gnorm 1.00 | 4491.0s
step  2350/122071 | loss 2.2869 | lr 1.00e-03 | wd 0.100 | gnorm 1.06 | 4509.7s
step  2360/122071 | loss 2.5504 | lr 1.00e-03 | wd 0.100 | gnorm 0.96 | 4528.5s
step  2370/122071 | loss 2.5310 | lr 1.00e-03 | wd 0.100 | gnorm 1.02 | 4547.5s
step  2380/122071 | loss 2.3424 | lr 1.00e-03 | wd 0.100 | gnorm 0.93 | 4566.4s
step  2390/122071 | loss 2.3044 | lr 1.00e-03 | wd 0.100 | gnorm 0.95 | 4585.4s
step  2400/122071 | loss 2.3681 | lr 1.00e-03 | wd 0.100 | gnorm 1.03 | 4604.0s
step  2410/122071 | loss 2.4683 | lr 1.00e-03 | wd 0.100 | gnorm 0.97 | 4622.7s
step  2420/122071 | loss 2.4077 | lr 1.00e-03 | wd 0.100 | gnorm 0.93 | 4641.6s
step  2430/122071 | loss 2.0586 | lr 1.00e-03 | wd 0.100 | gnorm 0.93 | 4660.2s
step  2440/122071 | loss 2.2816 | lr 1.00e-03 | wd 0.100 | gnorm 0.96 | 4679.2s
step  2450/122071 | loss 2.4041 | lr 1.00e-03 | wd 0.100 | gnorm 0.95 | 4698.0s
step  2460/122071 | loss 2.2767 | lr 1.00e-03 | wd 0.100 | gnorm 0.95 | 4717.1s
step  2470/122071 | loss 2.1959 | lr 1.00e-03 | wd 0.100 | gnorm 1.00 | 4735.7s
step  2480/122071 | loss 2.2234 | lr 1.00e-03 | wd 0.100 | gnorm 0.96 | 4755.4s
step  2490/122071 | loss 2.4084 | lr 1.00e-03 | wd 0.100 | gnorm 0.93 | 4774.4s
  [val] step 2500 | val_ppl 15.694 (prev 18.254)
step  2500/122071 | loss 2.4315 | lr 1.00e-03 | wd 0.100 | gnorm 1.02 | 4794.3s
step  2510/122071 | loss 2.3475 | lr 1.00e-03 | wd 0.100 | gnorm 0.99 | 4813.4s
step  2520/122071 | loss 2.6169 | lr 1.00e-03 | wd 0.100 | gnorm 0.99 | 4833.5s
step  2530/122071 | loss 2.4118 | lr 1.00e-03 | wd 0.100 | gnorm 0.89 | 4852.4s
