[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
  [val] cool 1750 | val_ppl 5.3828 | baseline 5.5558 | delta -0.1730
cool  1750/4000 | loss 1.3287 | lr 5.975e-05 | wd 0.000 | gnorm 2.15 | 4288.9s
cool  1760/4000 | loss 1.6408 | lr 5.937e-05 | wd 0.000 | gnorm 2.36 | 4312.1s
cool  1770/4000 | loss 1.5339 | lr 5.898e-05 | wd 0.000 | gnorm 2.20 | 4335.2s
cool  1780/4000 | loss 1.4179 | lr 5.860e-05 | wd 0.000 | gnorm 2.14 | 4360.0s
cool  1790/4000 | loss 1.4293 | lr 5.821e-05 | wd 0.000 | gnorm 2.13 | 4382.3s
cool  1800/4000 | loss 1.4694 | lr 5.782e-05 | wd 0.000 | gnorm 2.17 | 4405.5s
cool  1810/4000 | loss 1.5368 | lr 5.743e-05 | wd 0.000 | gnorm 2.15 | 4428.4s
cool  1820/4000 | loss 1.4449 | lr 5.705e-05 | wd 0.000 | gnorm 2.16 | 4452.1s
cool  1830/4000 | loss 1.3717 | lr 5.666e-05 | wd 0.000 | gnorm 2.09 | 4475.2s
cool  1840/4000 | loss 1.5038 | lr 5.627e-05 | wd 0.000 | gnorm 2.19 | 4499.3s
cool  1850/4000 | loss 1.6339 | lr 5.588e-05 | wd 0.000 | gnorm 2.31 | 4524.6s
cool  1860/4000 | loss 1.6026 | lr 5.549e-05 | wd 0.000 | gnorm 2.27 | 4552.1s
cool  1870/4000 | loss 1.5515 | lr 5.510e-05 | wd 0.000 | gnorm 2.31 | 4577.9s
cool  1880/4000 | loss 1.4332 | lr 5.471e-05 | wd 0.000 | gnorm 2.21 | 4603.5s
cool  1890/4000 | loss 1.5991 | lr 5.431e-05 | wd 0.000 | gnorm 2.23 | 4630.1s
cool  1900/4000 | loss 1.3043 | lr 5.392e-05 | wd 0.000 | gnorm 1.96 | 4654.6s
cool  1910/4000 | loss 1.5517 | lr 5.353e-05 | wd 0.000 | gnorm 2.11 | 4681.5s
cool  1920/4000 | loss 1.4293 | lr 5.314e-05 | wd 0.000 | gnorm 2.30 | 4701.9s
cool  1930/4000 | loss 1.4830 | lr 5.275e-05 | wd 0.000 | gnorm 2.07 | 4724.2s
cool  1940/4000 | loss 1.3481 | lr 5.236e-05 | wd 0.000 | gnorm 2.32 | 4745.7s
cool  1950/4000 | loss 1.4836 | lr 5.196e-05 | wd 0.000 | gnorm 2.18 | 4764.5s
cool  1960/4000 | loss 1.4458 | lr 5.157e-05 | wd 0.000 | gnorm 2.36 | 4783.1s
cool  1970/4000 | loss 1.4810 | lr 5.118e-05 | wd 0.000 | gnorm 2.14 | 4801.6s
cool  1980/4000 | loss 1.5959 | lr 5.079e-05 | wd 0.000 | gnorm 2.18 | 4820.1s
cool  1990/4000 | loss 1.5398 | lr 5.039e-05 | wd 0.000 | gnorm 2.25 | 4838.8s
  [val] cool 2000 | val_ppl 5.3416 | baseline 5.5558 | delta -0.2142
